Id,Customer Name,Address,Item,Price,Quantity,Placed At
1,Name Mann,Awesome Leather Wallet,1518.0,"9853 Albin Expressway, South Gretashire, MA 58528",7,2016-04-26
2,Carolanne Macejkovic,Small Plastic Plate,1347.6,"Apt. 478 67097 DuBuque Stravenue, Deckowton, WA 26645-1273",8,2016-04-04
3,Afton Torphy Sr.,Synergistic Steel Pants,438.8,"Suite 227 7618 Ruthie Cove, North Marymouth, TX 22823-1086",2,2016-08-25
4,Murl Beer,Intelligent Linen Computer,512.2,"Suite 622 2329 Monahan Tunnel, Hesselview, MO 80420-9213",9,2016-10-04
5,Joy Aufderhar,Enormous Marble Shirt,1008.2,"Apt. 922 366 Heller Knoll, Ebertburgh, NM 47349",7,2016-04-17
6,Zander Kris,Practical Marble Watch,988.8,"Apt. 855 7536 Schroeder Track, Sheilafort, OH 93131",3,2016-08-29
7,Billy McCullough V,Awesome Granite Coat,680.0,"74921 Connelly Shore, Kyleighville, FL 44618-4998",1,2016-09-20
8,Andreane Franecki IV,Incredible Copper Chair,1420.2,"50234 Ryley Tunnel, Lake Lafayetteland, NY 39949",7,2016-12-08
9,Micah Konopelski,Small Plastic Plate,863.0,"73321 Littel Parkway, West Francesco, WV 72221-9954",7,2016-08-11
10,Sophie O'Connell,Awesome Granite Coat,680.0,"Suite 823 1406 Ortiz Stravenue, Harrischester, NC 37553-4471",9,2016-12-27
11,Mrs. Jayne Beatty,Small Iron Knife,1436.4,"413 Bertrand Ports, Osinskishire, MD 77853",5,2016-12-25
12,Danielle Satterfield MD,Synergistic Linen Plate,1495.2,"248 Leannon Rue, Bogisichbury, MS 82222-7492",1,2016-09-15
13,Murl Beer,Synergistic Steel Pants,438.8,"Suite 622 2329 Monahan Tunnel, Hesselview, MO 80420-9213",1,2016-03-18
14,Carmine Zemlak V,Practical Marble Clock,1648.4,"990 Randal Springs, East Gussie, NY 61076",5,2016-07-31
15,Kelvin Mosciski MD,Synergistic Wooden Bag,1889.0,"Suite 827 786 Lynn Oval, Susieshire, MN 59683-9839",2,2016-08-25
