Id,Customer Name,Item,Price,Address,Quantity,Placed At
1,Murphy Jenkins,Practical Leather Keyboard,519.8,"Suite 584 8585 Heathcote Knoll, Lake Quinn, IN 55701-9783",1,2016-07-21
2,Eldridge Jaskolski,Intelligent Rubber Chair,1785.2,"Apt. 282 8634 Aisha Trail, Terrillburgh, AR 61004",8,2016-07-17
3,Delores Cartwright,Lightweight Granite Chair,1536.6,"593 Barton Curve, West Deanna, TN 49954",1,2016-05-09
4,Dr. Bailee Zieme,Gorgeous Silk Car,1867.8,"Suite 758 996 Pollich Mountains, Jordybury, MO 92251-6705",5,2016-03-14
5,Dr. Chance Kiehn,Enormous Granite Pants,927.8,"2200 Legros Summit, West Odessachester, AK 84975",9,2016-06-24
6,Isabella Bashirian,Synergistic Granite Keyboard,1028.0,"Apt. 930 204 Ernser Pine, Kadenton, SD 16127",8,2016-02-28
7,Mr. Kiara Abbott,Rustic Wool Lamp,1700.4,"Apt. 305 16210 Terrance Throughway, New Amina, NC 55842-2369",6,2016-06-20
8,Estrella Hegmann,Sleek Paper Table,900.6,"Apt. 105 46703 Janice Ville, Mervinbury, IA 99531-8866",6,2016-09-12
9,Joel Zulauf,Aerodynamic Cotton Wallet,1127.0,"8481 Heller Center, East Garrickbury, HI 11247-5563",10,2016-08-08
10,Jennifer Ondricka,Fantastic Iron Pants,593.6,"4503 Flatley Lake, Gaylordshire, NC 90138-6811",2,2016-02-18
11,Dr. Bailee Zieme,Aerodynamic Copper Plate,775.6,"Apt. 469 5827 Collins Via, Fisherside, ME 39697-5716",1,2016-01-17
12,Milo Walsh DDS,Small Wooden Chair,348.8,"35502 Ullrich Extension, Powlowskichester, SD 64407-3040",1,2016-04-12
13,Lottie Corkery IV,Awesome Wooden Chair,1785.8,"Apt. 331 3203 Lavonne Trace, West Catherine, MO 93884",7,2016-07-26
14,Creola Kutch,Aerodynamic Copper Plate,775.6,"Apt. 855 9269 Lockman Burg, Hettiefurt, SD 25122",3,2016-06-30
15,Sandy Lowe,Mediocre Iron Table,580.6,"3916 Fahey Manor, West Vladimirview, MA 18181",4,2016-09-20
16,Keshaun Renner,Durable Silk Car,544.2,"Apt. 869 602 Bryana Harbor, East Stellaton, GA 18589-3731",7,2016-07-11
17,Gennaro Jacobson Sr.,Incredible Paper Watch,451.2,"Apt. 747 44449 Andreane Inlet, East Briaborough, DE 30623",7,2016-03-27
18,Ethyl Von,Awesome Aluminum Knife,1000.2,"Suite 966 7584 Maureen Harbors, Wildermanmouth, MD 72725",8,2016-12-21
19,Vivien Hackett,Awesome Copper Car,466.8,"76947 Marvin Locks, North Carabury, AK 31397",6,2016-02-12
20,Casimer Funk,Durable Concrete Car,1485.6,"637 Felicia Station, West Alfredafurt, MI 27327",10,2016-06-15
21,Sandrine Roberts,Awesome Copper Car,333.2,"3042 Parker Greens, Deontaeville, IL 48997",6,2016-05-17
22,Louisa Heller DDS,Small Wooden Chair,348.8,"Suite 914 6846 Jennyfer Trail, Hayesstad, NV 70444",7,2016-01-28
23,Susie Sanford IV,Intelligent Aluminum Keyboard,203.2,"Suite 715 911 Sauer Walk, Zacheryville, MD 89355",3,2016-10-09
24,Jessyca Effertz,Rustic Aluminum Clock,718.8,"8219 Elna Lodge, Herzogton, NE 67243",8,2016-09-12
25,Jackie Fahey,Mediocre Steel Chair,1579.2,"85838 Haag Run, Kilbackmouth, WV 78642-7213",6,2016-01-26
26,Jared Mann,Lightweight Iron Watch,1279.2,"77051 Gerry Parks, Watsicatown, NC 63622",6,2016-08-30
27,Sandra Kohler Sr.,Incredible Paper Car,1882.2,"Apt. 348 84191 Erica Roads, North Riley, VA 28887-7684",7,2016-12-22
28,Francisco Pfeffer,Rustic Wool Lamp,1700.4,"1034 Tianna Views, Eladioport, WA 86836",1,2016-08-10
29,Brandy Zieme,Synergistic Steel Lamp,843.0,"Suite 374 626 Haley Mission, Greenmouth, MN 61120-2134",5,2016-03-25
30,Casimer Funk,Enormous Granite Keyboard,1680.6,"637 Felicia Station, West Alfredafurt, MI 27327",4,2016-07-28
31,Amaya Dibbert,Heavy Duty Concrete Gloves,1426.2,"611 Abernathy Harbors, Tysonfort, SD 57188-7631",8,2016-07-21
32,Jennifer Ondricka,Sleek Silk Shoes,430.6,"4503 Flatley Lake, Gaylordshire, NC 90138-6811",1,2016-08-10
33,Kane Hilll,Sleek Wooden Keyboard,1278.4,"Suite 155 9153 Kris Shores, Port Eliezerton, HI 77463",8,2016-08-31
34,Verlie Gutkowski,Durable Silk Car,544.2,"881 Wintheiser Way, Rippinmouth, WV 82835",2,2016-04-21
35,Jake Frami Sr.,Awesome Copper Car,466.8,"Suite 136 570 Jeramie Highway, Port Ethelland, NJ 21512",4,2016-04-15
36,Garth Brekke,Incredible Paper Car,1882.2,"7265 Kunze Vista, West Leximouth, DE 37680",7,2016-02-29
37,Kyle Macejkovic DVM,Awesome Copper Car,1434.2,"430 Ankunding Greens, Prohaskaside, GA 16786",10,2016-12-03
38,Gunner Tromp,Fantastic Wooden Bag,206.6,"Suite 310 278 Lester Union, Douglasborough, RI 80357-2993",2,2017-01-11
39,Miss Amy Price,Awesome Copper Car,1434.2,"31821 O'Hara Walks, Faheyborough, NJ 31261",7,2016-11-02
